site,lat,lon,subregion
Y3046,24.60617,-82.97795,Tortugas--Dry Tortugas NP
Y3047,24.72435,-82.81239,Tortugas--Dry Tortugas NP
Y3048,24.845491,-80.623925,Mid-Upper Keys Transition
Y3049,24.895397,-80.572374,Mid-Upper Keys Transition
Y3050,24.878513,-80.570256,Mid-Upper Keys Transition
Y3051,24.888295,-80.548795,Mid-Upper Keys Transition
Y3052,24.9818202,-80.4216366,Upper Keys
Y3053,24.92233333,-80.5055,Mid-Upper Keys Transition
Y3054,24.914017,-80.515217,Mid-Upper Keys Transition
Y3055,24.985194,-80.417019,Upper Keys
Y3056,26.7130278,-80.0051666,South Palm Beach
Y3057,24.8323,-80.64075,Mid-Upper Keys Transition
Y3058,25.8507,-80.0922,Broward-Miami
Y3059,24.95625,-80.45735,Mid-Upper Keys Transition
Y3061,26.49015,-80.03772,South Palm Beach
Y3062,26.714749,-80.017176,South Palm Beach
Y3063,26.704926,-80.016529,South Palm Beach
Y3064,26.69834,-80.01701,South Palm Beach
Y3066,24.576967,-81.44595,Lower Keys
Y3067,25.48289,-80.14961,Biscayne
Y3068,25.46725,-80.14086,Biscayne
YMQ23-1,24.43749,-82.61717,Marquesas
YMQ23-10,24.41917,-82.47943,Marquesas
